,City,Cloudiness,Date,Country,Humidity,Temperature,Latitude,Longtitude,Wind Speed
350,maceio,75,1619472826,ID,94,299.15,3.3,117.6333,2.06
351,badou,11,1619472863,RU,51,279.81,46.5389,138.3297,1.08
352,nizhniy tsasuchey,99,1619472863,BR,81,299.54,-0.6136,-47.3561,4.3
353,ewa beach,0,1619472863,RU,60,274.15,56.801,59.9303,3
354,caluquembe,100,1619472864,RU,92,269.71,69.3,139.9,0.78
355,orlik,100,1619472864,CN,96,287.32,24.1877,102.817,1.36
356,arua,75,1619472865,NO,93,273.15,70.9457,27.3465,5.66
357,ganzhou,0,1619472865,ML,20,308.15,14.6667,-4,3.09
358,kincardine,98,1619472865,CN,22,276.96,40.2833,97.2,2.91
359,peachland,100,1619472865,TZ,90,297.63,-5.4333,38.9667,3.57
360,svetlogorsk,90,1619472568,ES,88,287.15,41.6561,-0.8773,1.03
361,vila franca do campo,54,1619472866,CD,91,295.29,-4.55,18.6,0.5
362,villa carlos paz,75,1619472867,JP,83,293.15,26.1842,127.7558,3.6
363,gornopravdinsk,100,1619472867,CN,91,287.85,30.7144,111.2847,1.13
364,wanning,40,1619472867,IT,94,289.15,39.9304,18.3553,5.66
365,ust-tsilma,84,1619472868,CD,96,294.88,-5.35,21.4167,0.75
